,Age,StudyHours,SleepHours,Confidence,MockExamScore,GPA,InternshipGrade,TestAnxiety,SocialSupport,MotivationScore,EnglishProficiency,ReviewCenter,Scholarship,ExamResultPercent,Passed
Age,1.0,-0.11912896279751382,0.04401821195950635,0.06907373234800054,-0.09111132356382388,-0.052311272481181975,-0.0709277088699205,0.031077377149370772,0.061099298758685326,-0.07162231357559008,0.14589248876033103,-0.12943722855386502,-0.05799744510567233,-0.20677579307952115,-0.11130308981864902
StudyHours,-0.11912896279751382,1.0,-0.13939003681276385,0.07284776168132052,-0.06307258606950021,0.013507603124983088,-0.028190554327593823,-0.12413942458229484,-0.031063020098911612,-0.012336734888132203,0.043707258488300926,0.03714547977500444,0.11316693449268779,0.18122084579183,0.048474115769546265
SleepHours,0.04401821195950635,-0.13939003681276385,1.0,0.2532961708096541,0.19605102435091884,-0.023974075796407743,-0.0174911723105237,-0.05855498658326576,0.13004804591761815,0.2973416472711014,-0.05469663491323391,0.012579865429185575,0.0002207579102499851,-0.15827068015289072,-0.06295854315893876
Confidence,0.06907373234800054,0.07284776168132052,0.2532961708096541,1.0,-0.047564503640109494,0.04281742204909387,0.04211702177345783,0.08445088531472934,-0.015591493377285267,0.11150895888971873,0.03389336106809579,-0.05164577066637041,0.04350148499870608,-0.051819325377943405,-0.010761920555164476
MockExamScore,-0.09111132356382388,-0.06307258606950021,0.19605102435091884,-0.047564503640109494,1.0,-0.11151499074551097,-0.008703131306488322,-0.014579942756837777,-0.08258439148611076,-0.06312077094149537,-0.21856279774060758,,0.011907629270377747,-0.057208263130137035,0.06918293599720608
GPA,-0.052311272481181975,0.013507603124983088,-0.023974075796407743,0.04281742204909387,-0.11151499074551097,1.0,-0.055155318330925476,-0.04189365058424342,-0.10289630160838448,0.08901947760586588,0.005813638995014446,0.07047793769769421,0.05581064809108351,-0.13404675888088435,-0.050209285744462095
InternshipGrade,-0.0709277088699205,-0.028190554327593823,-0.0174911723105237,0.04211702177345783,-0.008703131306488322,-0.055155318330925476,1.0,-0.022929275844541543,-0.05608465916120969,0.03449689165775408,-0.02332859093445291,-0.06406868674578603,0.06937842077018877,0.019808230255731515,0.060330760413540754
TestAnxiety,0.031077377149370772,-0.12413942458229484,-0.05855498658326576,0.08445088531472934,-0.014579942756837777,-0.04189365058424342,-0.022929275844541543,1.0,0.08199020885037807,0.041415239392730396,0.2455804591404297,0.1447479540081718,-0.009608808074942245,0.18144186011004376,0.0826533887293825
SocialSupport,0.061099298758685326,-0.031063020098911612,0.13004804591761815,-0.015591493377285267,-0.08258439148611076,-0.10289630160838448,-0.05608465916120969,0.08199020885037807,1.0,-0.00232038712896082,0.11049696797709554,0.04569800276027558,-0.11053758602929672,0.05512486394176113,0.010252513057735687
MotivationScore,-0.07162231357559008,-0.012336734888132203,0.2973416472711014,0.11150895888971873,-0.06312077094149537,0.08901947760586588,0.03449689165775408,0.041415239392730396,-0.00232038712896082,1.0,0.19034889612947317,-0.01688941002601793,0.0831859343724481,0.002705309279267538,0.02125101291840711
EnglishProficiency,0.14589248876033103,0.043707258488300926,-0.05469663491323391,0.03389336106809579,-0.21856279774060758,0.005813638995014446,-0.02332859093445291,0.2455804591404297,0.11049696797709554,0.19034889612947317,1.0,0.07573739258597796,-0.01251620689129829,0.158601767145644,0.04026054858671093
ReviewCenter,-0.12943722855386502,0.03714547977500444,0.012579865429185575,-0.05164577066637041,,0.07047793769769421,-0.06406868674578603,0.1447479540081718,0.04569800276027558,-0.01688941002601793,0.07573739258597796,1.0,-0.014723983201666136,0.16616923205981396,0.10505206406890467
Scholarship,-0.05799744510567233,0.11316693449268779,0.0002207579102499851,0.04350148499870608,0.011907629270377747,0.05581064809108351,0.06937842077018877,-0.009608808074942245,-0.11053758602929672,0.0831859343724481,-0.01251620689129829,-0.014723983201666136,1.0,-0.014790381344190688,-0.004384077974418716
ExamResultPercent,-0.20677579307952115,0.18122084579183,-0.15827068015289072,-0.051819325377943405,-0.057208263130137035,-0.13404675888088435,0.019808230255731515,0.18144186011004376,0.05512486394176113,0.002705309279267538,0.158601767145644,0.16616923205981396,-0.014790381344190688,1.0,0.30394631727087146
Passed,-0.11130308981864902,0.048474115769546265,-0.06295854315893876,-0.010761920555164476,0.06918293599720608,-0.050209285744462095,0.060330760413540754,0.0826533887293825,0.010252513057735687,0.02125101291840711,0.04026054858671093,0.10505206406890467,-0.004384077974418716,0.30394631727087146,1.0
