Feature,Count,Missing,Mean,Std. Dev.,Min,Q1,Median,Q3,Max
Age,140,0,22.37142857142857,1.1081312102065872,21.0,22.0,22.0,23.0,26.0
StudyHours,140,0,5.642857142857143,2.1924377174534837,1.0,4.0,5.5,7.0,13.0
SleepHours,140,0,6.792857142857143,1.2551845206517902,4.0,6.0,7.0,8.0,10.0
Confidence,140,0,7.064285714285714,1.755610592037308,2.0,6.0,7.0,8.25,10.0
TestAnxiety,140,0,6.292857142857143,2.951640023506572,1.0,4.0,7.0,9.0,10.0
MockExamScore,100,40,75.35,7.047279007825745,55.0,71.75,76.0,80.0,87.0
GPA,140,0,1.649642857142857,0.3198187677313776,1.25,1.5,1.5,2.0,2.5
Scholarship,140,0,0.4,0.4916570132775856,0.0,0.0,0.0,1.0,1.0
InternshipGrade,103,37,1.779126213592233,0.382363923753881,1.0,1.5,1.75,2.0,2.5
ReviewCenter,140,0,0.7142857142857143,0.45337605344527804,0.0,0.0,1.0,1.0,1.0
EnglishProficiency,140,0,6.857142857142857,1.5711949746959364,4.0,6.0,7.0,8.0,10.0
MotivationScore,140,0,7.871428571428571,1.7499963294631893,2.0,7.0,8.0,9.0,10.0
SocialSupport,140,0,7.135714285714286,1.9935533305655102,2.0,6.0,7.0,9.0,10.0
ExamResultPercent,140,0,76.64071428571428,2.4847997307535112,63.8,75.475,76.55,78.5,81.8
