Age,Gender,StudyHours,SleepHours,ReviewCenter,MockExamScore,GPA,Scholarship,InternshipGrade,IncomeLevel,EmploymentStatus,Confidence,TestAnxiety,EnglishProficiency,MotivationScore,SocialSupport,ExamResultPercent,Passed
21,Female,4,7,1,74.0,1.75,0,2.0,Low,Skilled,6,9,5,8,6,75.2,1
24,Female,4,7,0,,2.0,0,1.75,Low,Skilled,9,9,8,7,5,76.7,1
23,Female,9,7,1,70.0,1.75,1,1.0,Middle,Skilled,10,4,9,9,7,76.6,1
23,Male,6,5,1,80.0,1.25,0,1.0,Middle,Skilled,8,7,7,8,6,76.2,1
22,Female,10,8,1,84.0,1.5,0,2.0,Low,Skilled,10,4,8,7,10,81.3,1
21,Female,5,7,1,86.0,1.75,0,2.0,Low,Unemployed,6,10,6,8,8,75.7,1
21,Female,5,7,1,78.0,1.5,0,1.0,Low,Skilled,6,5,5,3,6,78.1,1
22,Female,2,5,1,66.0,2.0,0,1.0,Middle,Skilled,8,6,6,6,10,78.5,1
22,Male,8,6,1,,2.5,0,1.0,Low,Skilled,5,8,8,9,9,74.0,1
22,Female,7,6,1,78.0,1.5,0,1.0,Middle,Unemployed,6,8,10,7,7,74.5,1
24,Female,5,6,1,77.0,2.0,0,1.0,High,Unemployed,7,1,8,8,6,71.4,1
22,Male,10,7,1,65.0,2.25,1,1.5,Middle,Unemployed,8,6,10,9,7,74.7,1
22,Male,7,7,0,,2.0,0,1.75,Low,Skilled,7,3,6,8,7,77.0,1
24,Female,8,7,0,,1.5,0,1.0,Middle,Professional,9,10,9,9,7,72.9,1
24,Female,7,6,1,,1.75,0,1.75,Low,Skilled,6,7,5,8,5,76.8,1
23,Female,5,8,1,76.0,1.75,0,1.5,Low,Skilled,10,6,8,10,10,78.9,1
22,Female,6,8,1,69.0,2.25,0,1.75,Low,Skilled,6,2,6,7,5,74.5,1
23,Female,8,7,1,79.0,1.75,0,1.75,Low,Skilled,6,4,7,8,9,76.0,1
24,Female,6,7,0,,2.0,1,2.0,Low,Unemployed,9,10,10,10,7,77.8,1
22,Male,8,5,1,72.0,1.25,0,1.75,Middle,Skilled,6,2,5,6,7,74.3,1
21,Female,8,4,1,,1.75,1,1.75,Low,Skilled,9,6,8,10,7,77.2,1
23,Female,6,8,1,83.0,1.5,0,1.0,Low,Skilled,9,4,6,8,9,75.8,1
23,Male,1,8,1,74.0,1.5,0,1.75,High,Unemployed,6,7,6,6,8,75.5,1
23,Female,4,6,1,,1.75,1,1.75,Low,Professional,9,4,6,8,8,78.2,1
22,Female,4,9,1,87.0,2.5,0,1.0,Low,Skilled,8,2,5,9,5,69.8,0
22,Female,3,7,0,,1.5,0,1.0,Low,Unemployed,7,4,7,10,10,79.3,1
21,Female,6,7,1,,1.75,0,1.75,Low,Skilled,9,10,8,7,9,75.7,1
24,Female,5,8,1,87.0,1.75,0,1.5,Low,Skilled,8,5,5,7,6,76.0,1
22,Female,7,6,1,65.0,1.25,0,2.0,Middle,Unemployed,5,5,10,10,6,80.2,1
22,Female,4,7,1,,1.5,1,1.0,Low,Professional,6,8,7,8,6,79.9,1
22,Female,5,9,1,77.0,1.5,0,1.5,Low,Skilled,9,5,5,9,10,75.9,1
23,Female,4,6,1,68.0,1.75,0,1.0,Low,Unemployed,6,6,8,10,8,78.4,1
22,Female,7,7,1,,2.0,1,1.75,Low,Skilled,7,6,7,6,9,78.8,1
22,Female,3,8,1,76.0,1.5,0,2.0,Low,Unemployed,8,7,8,8,10,76.2,1
22,Male,10,5,1,82.0,1.75,1,1.0,Low,Skilled,3,8,7,6,3,73.4,1
23,Female,2,6,0,,2.0,1,2.0,Low,Unemployed,5,8,9,6,9,74.0,1
21,Female,7,5,1,,2.0,1,1.75,Low,Skilled,7,8,7,4,4,76.1,1
22,Female,7,7,1,74.0,2.0,0,1.75,Low,Unemployed,8,5,7,6,5,73.4,1
21,Male,6,7,1,72.0,1.75,0,1.5,Low,Skilled,4,9,4,10,9,76.7,1
23,Male,8,6,1,72.0,2.0,0,2.25,Middle,Skilled,8,4,6,10,3,75.0,1
24,Male,5,6,1,72.0,1.5,1,2.5,Low,Skilled,9,4,9,6,4,75.9,1
21,Female,5,5,0,,1.5,0,1.0,High,Skilled,5,1,7,6,7,74.6,1
24,Female,6,6,0,,1.5,0,2.25,Low,Skilled,5,2,8,8,7,71.4,1
22,Male,9,7,1,74.0,1.25,1,1.0,Low,Unemployed,7,1,6,7,5,76.5,1
21,Female,6,6,1,76.0,1.75,0,2.25,Low,Skilled,8,6,7,8,8,70.3,1
23,Female,7,8,0,,1.75,1,1.0,Low,Skilled,7,4,5,10,6,74.2,1
23,Female,7,7,1,,1.5,0,1.5,Middle,Skilled,6,10,8,9,6,75.0,1
25,Female,6,8,0,,1.25,0,2.0,Middle,Skilled,8,8,5,7,6,74.0,1
24,Female,3,8,1,,1.75,0,1.0,Low,Skilled,8,9,10,9,8,76.9,1
22,Male,6,7,1,,2.5,0,1.0,Low,Skilled,5,4,5,7,7,71.1,1
21,Female,4,8,0,,1.5,0,2.0,Low,Skilled,8,3,6,10,8,72.9,1
23,Female,6,8,1,,2.0,1,1.25,Middle,Skilled,10,8,8,9,9,75.8,1
21,Female,6,7,1,,1.25,0,1.75,Low,Skilled,7,9,6,5,10,76.0,1
22,Female,8,5,1,63.0,1.5,0,1.0,Low,Skilled,8,10,8,5,6,79.0,1
22,Female,4,9,1,,2.0,1,1.5,Low,Skilled,6,10,5,10,8,75.7,1
23,Male,6,5,0,,1.25,0,1.75,Low,Skilled,7,3,7,8,7,75.8,1
24,Male,3,8,0,,2.0,0,1.0,Low,Skilled,8,2,6,10,8,73.8,1
23,Female,7,5,1,77.0,1.5,0,2.0,Middle,Skilled,7,10,7,8,6,81.5,1
24,Female,9,10,1,,1.5,0,1.0,Middle,Skilled,4,6,9,8,10,75.4,1
23,Female,4,8,1,,1.25,1,1.0,Low,Skilled,6,5,5,10,6,71.8,1
22,Male,6,9,1,75.0,1.25,0,1.75,Low,Unemployed,8,2,5,10,10,73.1,1
23,Female,7,7,1,85.0,1.25,0,1.75,Low,Skilled,8,4,5,4,10,79.2,1
22,Female,3,8,1,73.0,2.0,1,2.0,Low,Professional,7,10,7,9,7,75.0,1
21,Female,7,6,1,75.0,1.75,1,2.0,High,Skilled,7,7,7,7,6,76.4,1
21,Female,3,7,0,,1.75,1,2.0,Low,Skilled,9,10,7,10,8,75.1,1
22,Female,4,7,0,,1.75,0,2.0,Low,Skilled,6,5,6,7,7,72.0,1
21,Female,5,8,1,86.0,2.0,1,1.75,Low,Skilled,9,2,7,9,6,78.4,1
21,Female,5,4,0,,1.75,1,1.75,Low,Unemployed,4,5,9,10,6,70.4,1
23,Male,6,6,1,71.0,1.25,1,2.25,Middle,Unemployed,8,3,9,10,7,78.7,1
22,Male,2,9,1,,1.75,1,1.0,High,Skilled,7,6,4,9,7,71.3,1
22,Female,6,7,1,73.0,1.75,0,1.75,Low,Skilled,6,3,9,8,9,71.6,1
23,Female,7,10,1,80.0,1.5,0,1.0,Low,Professional,7,5,5,9,7,75.6,1
22,Female,5,6,1,,1.5,1,1.5,Low,Skilled,6,7,6,7,7,76.5,1
22,Female,10,8,1,70.0,2.0,0,1.0,Low,Skilled,9,8,6,7,7,75.1,1
23,Female,4,5,0,,1.75,1,2.0,Low,Skilled,6,9,8,7,7,75.0,1
22,Female,4,7,1,73.0,1.5,1,1.75,Low,Skilled,8,4,6,8,10,76.0,1
23,Female,10,5,1,81.0,2.25,0,1.0,Low,Skilled,10,9,10,6,9,79.6,1
24,Female,4,8,1,79.0,1.25,1,2.5,High,Unemployed,7,6,8,9,8,72.1,1
23,Female,8,7,1,70.0,1.25,0,1.0,Low,Skilled,5,4,8,8,6,76.6,1
23,Female,1,7,1,85.0,1.75,1,2.0,Low,Unemployed,6,10,6,6,7,78.1,1
24,Female,4,7,1,84.0,2.25,0,1.25,High,Skilled,7,10,6,7,6,73.9,1
24,Female,10,5,0,,1.25,0,1.75,Middle,Skilled,8,6,6,7,8,76.8,1
22,Female,7,8,1,,1.25,1,2.0,Middle,Professional,3,7,9,8,10,79.8,1
21,Female,9,4,1,,2.0,0,1.5,Low,Unemployed,7,6,7,7,9,75.4,1
24,Female,7,6,0,,1.25,1,1.0,Middle,Unemployed,8,3,10,7,9,76.5,1
22,Female,5,6,1,81.0,1.25,0,1.75,Low,Unemployed,7,9,7,8,5,71.8,1
23,Female,9,7,1,,2.0,1,1.75,Low,Skilled,9,4,10,8,6,77.3,1
23,Male,5,7,1,74.0,1.5,1,2.0,High,Skilled,9,3,7,9,4,76.8,1
21,Female,4,4,0,,1.75,1,1.75,Low,Professional,7,8,7,6,9,79.1,1
23,Female,1,8,1,69.0,1.5,0,1.0,Low,Unemployed,8,6,9,9,7,74.3,1
23,Male,6,7,0,,1.25,0,1.75,Low,Skilled,6,5,7,10,7,76.0,1
21,Female,5,8,1,,1.5,0,1.0,Low,Skilled,8,4,6,9,6,76.6,1
24,Male,3,8,0,,1.5,0,1.0,Low,Skilled,6,10,9,10,6,79.7,1
24,Female,7,8,1,75.0,1.25,0,1.75,Middle,Skilled,7,3,9,9,7,77.2,1
23,Female,1,7,1,75.0,1.75,1,1.75,Low,Unemployed,9,4,7,8,7,72.1,1
24,Male,8,6,1,78.0,1.75,0,1.5,Low,Skilled,6,7,8,7,9,80.5,1
24,Female,4,6,0,,1.5,0,2.0,Middle,Skilled,9,10,10,6,8,76.5,1
23,Male,11,7,1,72.0,1.5,0,1.25,Middle,Skilled,8,7,8,8,8,75.3,1
22,Male,6,7,1,76.0,1.75,1,1.0,Low,Skilled,9,4,9,9,7,74.9,1
23,Female,7,6,1,86.0,2.0,0,2.0,Low,Unemployed,7,7,8,8,9,77.4,1
24,Female,8,9,0,,2.5,1,1.5,Low,Skilled,10,5,8,10,4,73.2,1
23,Female,6,8,1,,1.75,0,1.0,Middle,Skilled,10,3,9,8,9,71.8,1
23,Female,9,7,1,71.0,1.75,0,2.25,Middle,Skilled,8,4,10,9,7,75.0,1
23,Female,7,8,1,80.0,1.5,1,1.25,Middle,Skilled,9,4,6,8,7,73.8,1
22,Female,2,5,0,,1.75,1,2.25,Low,Professional,6,10,4,8,7,74.7,1
22,Male,3,6,1,74.0,1.75,0,1.75,Low,Skilled,4,7,7,7,6,77.2,1
24,Female,2,8,1,81.0,1.5,0,1.0,Low,Skilled,8,9,6,8,6,72.8,1
23,Female,4,8,1,71.0,2.25,0,1.5,Low,Unemployed,7,10,7,5,9,77.6,1
22,Female,5,6,1,79.0,1.75,0,1.0,Low,Skilled,10,8,6,7,6,78.8,1
24,Female,4,9,0,,1.25,1,1.75,Low,Skilled,6,5,5,7,9,76.4,1
22,Female,3,6,1,78.0,1.5,0,1.0,Middle,Skilled,7,2,7,6,9,78.9,1
22,Female,6,6,1,76.0,2.0,0,1.25,Low,Skilled,5,6,4,7,6,76.2,1
23,Female,6,7,1,76.0,2.0,0,1.0,Low,Skilled,9,6,8,8,8,74.3,1
21,Female,6,7,1,,1.75,0,1.75,Low,Skilled,3,2,5,7,10,72.6,1
22,Female,6,6,1,77.0,2.0,0,1.25,Low,Professional,7,9,9,8,9,76.9,1
23,Female,1,8,1,76.0,1.25,0,1.75,Low,Unemployed,7,7,8,8,5,70.1,1
21,Female,10,5,0,,1.5,0,1.0,Low,Unemployed,7,10,6,6,6,77.5,1
22,Female,6,8,1,78.0,2.25,0,1.0,Middle,Unemployed,8,2,7,10,6,75.5,1
23,Female,9,7,1,,1.75,1,1.25,Middle,Skilled,8,10,7,9,9,74.4,1
23,Female,7,10,1,76.0,2.0,0,1.5,Low,Skilled,8,3,5,10,8,73.1,1
23,Female,4,5,1,,1.5,0,2.25,Low,Skilled,4,7,6,6,6,78.3,1
22,Female,7,9,0,,1.75,0,2.25,Low,Skilled,10,4,6,10,7,74.7,1
23,Female,4,8,1,80.0,1.75,1,2.0,Low,Unemployed,4,10,10,8,10,78.7,1
22,Male,7,8,0,,1.75,0,1.0,High,Skilled,7,8,6,9,6,80.8,1
24,Female,3,9,1,,1.75,1,1.0,Low,Skilled,9,5,6,8,7,70.4,1
24,Female,5,6,1,70.0,1.75,0,2.0,Low,Skilled,8,9,7,7,8,75.1,1
21,Male,5,7,0,,2.0,1,2.25,Low,Unemployed,7,2,9,8,5,72.4,1
22,Male,7,7,1,67.0,1.5,0,1.5,Low,Skilled,8,3,8,10,8,78.2,1
23,Female,2,8,0,,1.5,0,1.5,Low,Skilled,6,6,8,10,7,78.1,1
23,Female,4,6,1,,1.75,1,1.0,Middle,Skilled,6,7,8,6,8,74.8,1
24,Female,4,6,1,80.0,1.5,0,2.0,Low,Skilled,6,3,5,6,8,74.9,1
21,Female,3,8,1,82.0,1.75,1,1.0,Low,Skilled,10,6,6,9,7,76.3,1
22,Male,4,6,1,70.0,1.75,1,1.5,Low,Skilled,5,4,7,8,5,75.3,1
23,Female,7,8,1,,2.0,1,1.0,Middle,Unemployed,8,7,7,8,6,74.7,1
22,Female,8,5,1,,2.0,1,1.75,Low,Professional,5,5,10,10,5,78.9,1
21,Female,5,6,1,75.0,2.25,0,1.0,Low,Unemployed,7,1,8,6,8,76.1,1
23,Male,5,5,1,73.0,1.75,0,1.0,Low,Skilled,6,4,10,6,6,75.2,1
22,Female,7,9,0,,2.0,0,1.0,Middle,Skilled,8,6,7,10,8,73.9,1
21,Female,6,4,1,75.0,1.5,0,1.75,Low,Skilled,5,10,10,8,8,81.5,1
22,Female,3,7,1,82.0,1.25,1,1.0,Low,Skilled,4,6,7,6,8,77.5,1
23,Female,5,7,0,,1.5,0,1.0,Low,Skilled,7,8,7,7,4,78.3,1
23,Female,8,8,1,73.0,1.25,0,2.0,Low,Skilled,7,5,8,8,7,79.3,1
22,Male,6,7,1,76.0,1.75,1,1.5,High,Skilled,5,4,5,9,7,76.8,1
22,Female,5,8,1,,1.75,1,2.5,Low,Professional,7,4,9,10,6,74.8,1
21,Male,9,6,1,77.0,2.25,1,1.0,Low,Skilled,6,9,6,5,5,73.6,1
23,Female,1,7,1,,1.5,0,2.25,Low,Skilled,5,5,9,9,9,74.0,1
23,Female,4,7,1,77.0,1.75,0,1.75,Low,Unemployed,10,5,6,5,9,76.0,1
21,Male,5,6,1,72.0,1.25,1,2.0,Low,Skilled,7,2,5,7,7,80.6,1
21,Female,4,7,1,83.0,1.5,0,2.0,Low,Skilled,7,10,6,10,8,75.6,1
22,Female,5,7,1,79.0,1.75,0,1.0,Middle,Skilled,6,7,7,7,9,75.0,1
22,Male,6,8,0,,1.75,0,1.75,High,Skilled,8,6,6,7,4,76.5,1
24,Female,6,6,1,66.0,1.5,0,2.0,Low,Unemployed,5,9,8,5,9,76.2,1
23,Female,10,6,0,,1.5,0,1.25,Low,Skilled,6,10,8,9,8,78.4,1
22,Female,6,9,1,73.0,2.0,1,1.75,Middle,Skilled,6,4,8,10,6,72.9,1
21,Female,6,6,1,77.0,1.75,0,2.0,Low,Unemployed,8,9,7,7,7,79.5,1
23,Female,8,5,1,,2.0,0,1.0,High,Skilled,3,2,4,8,5,76.4,1
22,Male,8,4,0,,2.25,0,1.5,Low,Professional,6,7,5,10,3,73.8,1
24,Female,10,7,0,,1.25,0,1.75,Low,Skilled,6,1,7,6,10,74.9,1
23,Female,4,8,0,,1.5,0,1.0,Low,Skilled,7,1,5,10,8,73.7,1
22,Male,7,4,1,69.0,1.25,0,1.75,Low,Professional,7,7,10,6,6,80.6,1
24,Female,7,6,1,75.0,1.5,0,1.5,Middle,Unemployed,7,7,9,7,5,78.7,1
22,Female,4,7,1,65.0,2.0,1,1.25,Middle,Unemployed,8,7,6,7,7,77.9,1
21,Female,4,7,0,,1.25,0,1.0,Low,Skilled,8,10,7,9,3,78.9,1
22,Male,2,7,1,75.0,1.75,1,2.0,Low,Skilled,4,9,8,10,7,79.9,1
23,Female,5,6,1,,2.0,0,1.5,Low,Skilled,8,7,5,7,8,75.3,1
23,Male,4,7,0,,1.25,0,1.75,Low,Skilled,9,6,4,5,4,74.3,1
22,Male,10,8,0,,1.5,1,1.0,Low,Professional,9,4,4,8,9,76.5,1
