Age,Gender,StudyHours,SleepHours,ReviewCenter,MockExamScore,GPA,Scholarship,InternshipGrade,IncomeLevel,EmploymentStatus,Confidence,TestAnxiety,EnglishProficiency,MotivationScore,SocialSupport,ExamResultPercent,Passed
23,Female,4,7,0,,1.75,1,1.75,High,Skilled,10,4,5,9,4,77.7,1
22,Female,5,7,0,,1.25,0,1.75,Low,Unemployed,8,7,4,2,10,79.4,1
23,Male,5,8,0,,2,0,2,Low,Unemployed,8,10,10,10,6,74.8,1
22,Female,3,6,0,,1.5,0,,Low,Unemployed,5,9,7,10,9,74.8,1
22,Female,7,6,0,,1.75,0,2,Middle,Skilled,8,2,10,8,10,74.6,1
21,Male,6,7,1,82,1.5,1,2,Low,Skilled,9,3,6,10,5,74.9,1
22,Female,5,6,1,55,1.5,0,1.5,Low,Skilled,4,4,7,8,7,76.6,1
22,Male,6,7,1,82,1.5,0,1.25,High,Skilled,6,10,6,5,6,75.8,1
21,Female,7,9,1,70,1.75,1,,Low,Unemployed,7,1,8,7,9,78.8,1
22,Female,7,7,1,71,2,1,1.5,Middle,Skilled,7,7,10,8,9,78.8,1
21,Female,3,6,1,78,1.5,0,2,Low,Unemployed,5,2,6,8,7,75.2,1
22,Female,7,5,1,74,1.75,0,1.5,Low,Skilled,5,5,7,6,6,75.8,1
23,Female,7,8,0,,1.5,0,2.25,Low,Unemployed,9,1,7,8,6,75.7,1
22,Female,3,8,0,,1.5,0,,Middle,Skilled,10,3,4,8,10,74.5,1
23,Male,5,6,0,,1.25,1,,Low,Unemployed,6,2,9,8,10,76,1
22,Female,6,7,0,,1.75,0,2,High,Professional,6,1,5,7,10,75,1
22,Male,9,7,0,,1.25,1,2,Middle,Skilled,6,7,6,8,6,76.4,1
22,Male,7,7,0,,2,0,1.75,High,Skilled,9,5,6,9,5,76,1
21,Female,8,6,1,77,1.5,1,2.25,Low,Skilled,6,1,6,5,9,76.7,1
22,Male,7,8,1,81,1.5,1,,Low,Skilled,9,6,7,9,6,78.8,1
21,Female,5,7,1,73,2,1,2.25,Low,Skilled,9,5,7,7,5,73.5,1
22,Female,7,8,0,,2.25,0,1.5,Middle,Skilled,9,3,4,5,9,74.5,1
21,Female,5,6,1,78,1.25,0,2.25,Low,Skilled,5,7,6,8,7,78,1
22,Female,7,8,1,84,2.5,0,2,Low,Skilled,9,10,10,8,6,79,1
24,Female,6,8,1,74,2.5,1,1.5,Low,Skilled,4,9,9,9,7,74,1
24,Female,6,6,1,74,1.75,1,,Low,Unemployed,7,9,6,7,6,79,1
22,Male,4,5,0,,2,1,2,High,Skilled,6,9,9,9,8,75.4,1
23,Female,5,9,1,77,2,1,,Low,Skilled,7,2,6,8,6,78,1
22,Female,7,6,1,77,1.5,1,2,High,Skilled,6,3,7,8,5,77,1
22,Female,7,8,0,,2.5,0,1.25,Middle,Skilled,7,7,4,8,10,76,1
