Type,Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,CV Mean,CV Std
Ensemble,STACKING,0.5272727272727272,0.5306122448979592,0.4727272727272727,0.5,0.5335537190082644,0.5598837209302325,0.04884879121883964
Base,RANDOM_FOREST,0.5181818181818182,0.5208333333333334,0.45454545454545453,0.4854368932038835,0.5358677685950414,0.5801797040169133,0.05686231630694819
Ensemble,BAGGING,0.5181818181818182,0.5185185185185185,0.509090909090909,0.5137614678899083,0.5391735537190082,0.5778541226215645,0.05355353829750293
Base,DECISION_TREE,0.509090909090909,0.5102040816326531,0.45454545454545453,0.4807692307692308,0.5104132231404959,0.5825581395348838,0.06273621827760628
Ensemble,WEIGHTED_VOTING,0.5,0.5,0.43636363636363634,0.46601941747572817,0.5239669421487603,0.5803911205073996,0.04459676022461413
Base,SVM,0.5,0.5,0.38181818181818183,0.4329896907216495,0.5338842975206611,0.5873678646934462,0.06501016260034431
Ensemble,BOOSTING,0.4909090909090909,0.4897959183673469,0.43636363636363634,0.46153846153846156,0.5094214876033057,0.5801268498942918,0.05794711575655644
Base,NEURAL_NETWORK,0.4909090909090909,0.4888888888888889,0.4,0.44,0.5044628099173554,0.5733086680761099,0.05061761258589969
Base,NAIVE_BAYES,0.4727272727272727,0.46153846153846156,0.32727272727272727,0.3829787234042553,0.500495867768595,0.5548625792811839,0.056932403995223924
Base,KNN,0.4636363636363636,0.45,0.32727272727272727,0.37894736842105264,0.5105785123966942,0.5736257928118393,0.06000702911207697
