Model,Fold,Accuracy
BAGGING RANDOM FOREST,1,0.5
BAGGING RANDOM FOREST,2,0.48
BAGGING RANDOM FOREST,3,0.54
BAGGING RANDOM FOREST,4,0.52
BAGGING RANDOM FOREST,5,0.54
BAGGING RANDOM FOREST,6,0.6
BAGGING RANDOM FOREST,7,0.46
BAGGING RANDOM FOREST,8,0.58
BAGGING RANDOM FOREST,9,0.56
BAGGING RANDOM FOREST,10,0.6
BOOSTING GRADIENT BOOST,1,0.42
BOOSTING GRADIENT BOOST,2,0.5
BOOSTING GRADIENT BOOST,3,0.48
BOOSTING GRADIENT BOOST,4,0.52
BOOSTING GRADIENT BOOST,5,0.38
BOOSTING GRADIENT BOOST,6,0.54
BOOSTING GRADIENT BOOST,7,0.4
BOOSTING GRADIENT BOOST,8,0.54
BOOSTING GRADIENT BOOST,9,0.48
BOOSTING GRADIENT BOOST,10,0.68
STACKING LOGISTIC,1,0.62
STACKING LOGISTIC,2,0.52
STACKING LOGISTIC,3,0.5
STACKING LOGISTIC,4,0.38
STACKING LOGISTIC,5,0.6
STACKING LOGISTIC,6,0.4
STACKING LOGISTIC,7,0.64
STACKING LOGISTIC,8,0.52
STACKING LOGISTIC,9,0.58
STACKING LOGISTIC,10,0.48
