Model,Fold,Accuracy
KNN,1,0.5
KNN,2,0.6363636363636364
KNN,3,0.5681818181818182
KNN,4,0.5
KNN,5,0.5227272727272727
KNN,6,0.6136363636363636
KNN,7,0.6744186046511628
KNN,8,0.627906976744186
KNN,9,0.5116279069767442
KNN,10,0.5813953488372093
DECISION_TREE,1,0.5909090909090909
DECISION_TREE,2,0.6590909090909091
DECISION_TREE,3,0.45454545454545453
DECISION_TREE,4,0.5909090909090909
DECISION_TREE,5,0.5454545454545454
DECISION_TREE,6,0.6590909090909091
DECISION_TREE,7,0.6511627906976745
DECISION_TREE,8,0.5813953488372093
DECISION_TREE,9,0.5116279069767442
DECISION_TREE,10,0.5813953488372093
RANDOM_FOREST,1,0.5227272727272727
RANDOM_FOREST,2,0.5909090909090909
RANDOM_FOREST,3,0.6590909090909091
RANDOM_FOREST,4,0.5227272727272727
RANDOM_FOREST,5,0.6363636363636364
RANDOM_FOREST,6,0.5909090909090909
RANDOM_FOREST,7,0.6046511627906976
RANDOM_FOREST,8,0.46511627906976744
RANDOM_FOREST,9,0.627906976744186
RANDOM_FOREST,10,0.5813953488372093
SVM,1,0.5681818181818182
SVM,2,0.5909090909090909
SVM,3,0.6363636363636364
SVM,4,0.45454545454545453
SVM,5,0.6363636363636364
SVM,6,0.5454545454545454
SVM,7,0.6744186046511628
SVM,8,0.5116279069767442
SVM,9,0.6511627906976745
SVM,10,0.6046511627906976
NEURAL_NETWORK,1,0.5681818181818182
NEURAL_NETWORK,2,0.6136363636363636
NEURAL_NETWORK,3,0.6818181818181818
NEURAL_NETWORK,4,0.4772727272727273
NEURAL_NETWORK,5,0.5681818181818182
NEURAL_NETWORK,6,0.5681818181818182
NEURAL_NETWORK,7,0.6046511627906976
NEURAL_NETWORK,8,0.5581395348837209
NEURAL_NETWORK,9,0.5348837209302325
NEURAL_NETWORK,10,0.5581395348837209
NAIVE_BAYES,1,0.5227272727272727
NAIVE_BAYES,2,0.6136363636363636
NAIVE_BAYES,3,0.6363636363636364
NAIVE_BAYES,4,0.5454545454545454
NAIVE_BAYES,5,0.5681818181818182
NAIVE_BAYES,6,0.5227272727272727
NAIVE_BAYES,7,0.4418604651162791
NAIVE_BAYES,8,0.5581395348837209
NAIVE_BAYES,9,0.627906976744186
NAIVE_BAYES,10,0.5116279069767442
