Feature,Mean,Std. Dev.,Min,Max
Age,22.395495495495496,1.0373448268924383,21.0,26.0
StudyHours,5.599099099099099,2.1525665891531887,1.0,13.0
SleepHours,6.799099099099099,1.2874503848018801,4.0,10.0
Confidence,6.909009009009009,1.7107863161646206,2.0,10.0
TestAnxiety,6.252252252252252,2.58059788707899,1.0,10.0
MockExamScore,75.25487012987013,5.989826794136599,55.0,87.0
GPA,1.6666216216216216,0.30071425505459454,1.25,2.5
Scholarship,0.3504504504504504,0.47732608735042054,0.0,1.0
InternshipGrade,1.568287037037037,0.44615163331086055,1.0,2.5
ReviewCenter,0.7693693693693694,0.4214263197456395,0.0,1.0
EnglishProficiency,6.854054054054054,1.543582881640899,4.0,10.0
MotivationScore,7.774774774774775,1.6035616618423665,2.0,10.0
SocialSupport,7.104504504504504,1.9081424591088088,2.0,10.0
ExamResultPercent,76.59981981981981,2.4433564926905933,63.8,81.8
