Feature,Importance
Age,0.03382638484521032
SocialSupport,0.02416796962410761
TestAnxiety,0.020952578855395997
ReviewCenter,0.013996717994082386
StudyHours,0.01150241002235849
SleepHours,0.011095775793913576
EnglishProficiency,0.008610346780475165
Gender,0.0028086716291756187
Confidence,0.0015375987710885219
MotivationScore,0.0011611579322964639
IncomeLevel,0.0005626122010078616
MockExamScore,-0.0007673336131487352
EmploymentStatus,-0.004900871135512519
GPA,-0.008282837002768518
Scholarship,-0.019273674583440703
InternshipGrade,-0.027444990960202354
