Feature,Importance
Age,0.07305690322050584
StudyHours,0.06134504114085741
GPA,0.041302116864338864
TestAnxiety,0.03766564913228464
SleepHours,0.028494424906347394
ReviewCenter,0.024351829783403646
EnglishProficiency,0.02300399734345484
IncomeLevel,0.005214911127249889
SocialSupport,0.003462017297683517
MotivationScore,0.00175277175846561
MockExamScore,-0.00013213620234171498
Confidence,-0.00023392525613935566
InternshipGrade,-0.0006845012348804414
Gender,-0.0014815660820976073
Scholarship,-0.003914998808704173
EmploymentStatus,-0.0040772009527119905
