Feature,Importance
StudyHours,0.1238395780275918
MockExamScore,0.12187991421935808
TestAnxiety,0.0979899546697299
Age,0.09634231937376016
SleepHours,0.07665205200443644
EnglishProficiency,0.06918555268928177
SocialSupport,0.06509250793710472
GPA,0.06465192355473731
Confidence,0.05896569071226878
MotivationScore,0.04653376721517956
InternshipGrade,0.046516810485308424
ReviewCenter,0.04089595125038976
EmploymentStatus,0.03865482976796506
IncomeLevel,0.02735808698361032
Scholarship,0.015672287937842637
Gender,0.009768773171435282
