Feature,Importance
Age,0.07063209240589742
StudyHours,0.05246900860925165
GPA,0.03703072657318801
TestAnxiety,0.03538242188696307
EnglishProficiency,0.024647094116124348
SleepHours,0.02329941460661099
ReviewCenter,0.019166786543910207
SocialSupport,0.004733225767699844
IncomeLevel,0.004425987673468435
MockExamScore,0.0005419803092571174
MotivationScore,0.0004929183701482098
InternshipGrade,0.0003125513248961265
Gender,8.257375040279235e-05
Confidence,7.454623674985061e-06
Scholarship,-0.0016307387746750223
EmploymentStatus,-0.004176991168601374
