Feature,SHAP_Importance
ReviewCenter,0.3042347769329931
StudyHours,0.2381822908398695
Age,0.10837573028919242
EnglishProficiency,0.10145011560566443
TestAnxiety,0.10044769459711243
Scholarship,0.09622892184227724
GPA,0.09211519641079857
EmploymentStatus,0.0888580241644536
SleepHours,0.07657159290702857
IncomeLevel,0.07142694384890284
InternshipGrade,0.06197933870196911
Gender,0.05855762813358796
SocialSupport,0.05507161423389916
Confidence,0.051453848004547165
MockExamScore,0.0470604951034597
MotivationScore,0.0421940600341747
