Feature,SHAP_Importance
StudyHours,0.37641198110925644
GPA,0.31276281615056556
ReviewCenter,0.27819775428166826
Age,0.26817659616829065
TestAnxiety,0.26145830899679245
EmploymentStatus,0.2334430676472331
SleepHours,0.23192340383776
EnglishProficiency,0.16001399272276778
Scholarship,0.11263866799657343
IncomeLevel,0.10769663459040332
MotivationScore,0.01301120414811902
Confidence,0.012823599060382577
SocialSupport,0.012581974468649256
MockExamScore,0.005462383527950305
InternshipGrade,0.00015218683520504606
Gender,6.864610079498678e-05
