Feature,SHAP_Importance
StudyHours,0.3805176201351757
TestAnxiety,0.2345741441549694
ReviewCenter,0.19887385266983787
GPA,0.1780249296826593
EnglishProficiency,0.1766461280681183
Age,0.13987108902318873
SleepHours,0.1373039716592555
MockExamScore,0.10119370245525346
EmploymentStatus,0.0754427533350261
Confidence,0.06888211727817853
SocialSupport,0.05860861455951059
MotivationScore,0.0376857930996754
Scholarship,0.03708401849625635
IncomeLevel,0.03379125180470009
InternshipGrade,0.02585628225023157
Gender,0.00794646533535103
