Feature,SHAP_Importance
StudyHours,0.3334298480217821
GPA,0.27626056764286944
Age,0.25582291135539825
TestAnxiety,0.24944739895563692
ReviewCenter,0.24572092980040164
SleepHours,0.19418914072574697
EmploymentStatus,0.1823041517429348
EnglishProficiency,0.1592728328047476
IncomeLevel,0.09225373515109075
Scholarship,0.06806714370899938
MockExamScore,0.0379669502212526
Confidence,0.02638414208607538
SocialSupport,0.013567262169693079
MotivationScore,0.0007515798382580665
Gender,0.0
InternshipGrade,0.0
