Feature,SHAP_Importance
StudyHours,0.3071457461916241
Age,0.20811870363314872
TestAnxiety,0.19392297045877588
GPA,0.18621915207852915
EmploymentStatus,0.15612658732667273
ReviewCenter,0.15312424111945538
EnglishProficiency,0.14265060304425364
SleepHours,0.14002840858714488
Scholarship,0.11363577460148161
IncomeLevel,0.06960926564379617
InternshipGrade,0.059523218509122885
MockExamScore,0.057457742339589224
Confidence,0.05355158043044089
Gender,0.03763910374609295
MotivationScore,0.03635303477282161
SocialSupport,0.029436843309596793
