Feature,Importance
Age,0.05733180554043342
StudyHours,0.04127511741634667
GPA,0.03895779513749124
EnglishProficiency,0.03047638779158618
TestAnxiety,0.030409116553587835
MockExamScore,0.024705635214559228
ReviewCenter,0.01077900323634685
Gender,0.009730468442698582
EmploymentStatus,0.008460304543975084
SleepHours,0.007861240577669326
SocialSupport,0.004931874969905126
MotivationScore,0.004015624170256371
IncomeLevel,0.0039015345760324838
Confidence,0.003205098434527864
InternshipGrade,-0.0008552662553851454
Scholarship,-0.006925832064958393
