Feature,Importance
TestAnxiety,0.06185085593881816
MockExamScore,0.02518569737991395
Age,0.016042243866868876
StudyHours,0.014285092860927861
InternshipGrade,0.009253407227765454
ReviewCenter,0.0038024993047582447
SleepHours,0.0031454235025436205
Gender,-0.011393719885378207
EnglishProficiency,-0.03545253003658322
GPA,-0.037204027220307856
Scholarship,-0.04044787493313838
IncomeLevel,-0.06165310406419692
EmploymentStatus,-0.09072838294467953
Confidence,-0.09202033939963652
SocialSupport,-0.1288663939289451
MotivationScore,-0.18211480089942964
