Feature,Importance
Age,3.0465007360042193
SocialSupport,1.8059051428666124
MockExamScore,1.475991463621706
Confidence,1.2449865324535014
EmploymentStatus,1.0065355778960885
Gender,0.800082099725685
SleepHours,0.2310721527115039
StudyHours,0.18548989800661958
GPA,0.13718020328539762
Scholarship,-0.1911864745306806
ReviewCenter,-0.2468836602141849
IncomeLevel,-0.6417483652272434
EnglishProficiency,-0.7406648706372672
InternshipGrade,-1.010026566765962
TestAnxiety,-1.0398861815075138
MotivationScore,-1.4771803760452822
