Feature,Importance
Age,0.20793364348570353
TestAnxiety,0.13393167561129113
StudyHours,0.10351998691680553
EnglishProficiency,0.090934877455213
MockExamScore,0.08034187693999044
InternshipGrade,0.07199265742967603
SocialSupport,0.05296908076004999
Confidence,0.05043658805689228
SleepHours,0.04977444886699052
GPA,0.041298398977422525
MotivationScore,0.031545672788083956
IncomeLevel,0.026817727209708334
EmploymentStatus,0.01860940761553254
ReviewCenter,0.017018790181687716
Gender,0.01573084817587687
Scholarship,0.007144319529075645
