Feature,Importance
Age,0.05442083034571186
SleepHours,0.03915281933974566
EnglishProficiency,0.03239600010313293
ReviewCenter,0.031940656031513345
TestAnxiety,0.026692483269322866
StudyHours,0.024937693044128118
GPA,0.02218217658069075
Gender,0.004851205882596243
MotivationScore,0.0016077571169896387
Confidence,0.0012741796932791317
EmploymentStatus,0.0005375976462424603
SocialSupport,-0.00045956138584158924
MockExamScore,-0.0005570029177072611
Scholarship,-0.0006862358874703767
InternshipGrade,-0.0022181915852021116
IncomeLevel,-0.0031530202385652516
