Feature,Importance
EnglishProficiency,0.005127735248010201
IncomeLevel,0.004086526227442611
TestAnxiety,0.0035949511865132067
StudyHours,0.00147672871506086
SleepHours,0.0012381796646081967
Gender,0.001066632155833469
MockExamScore,0.0008237438087840276
SocialSupport,0.0005246087677136968
InternshipGrade,0.0004233056751745901
Scholarship,0.00031950752231566513
Confidence,0.0003097168364663228
GPA,4.4062744463180256e-05
EmploymentStatus,-0.0009338169936251361
MotivationScore,-0.001160558889321406
ReviewCenter,-0.0021214029890847643
Age,-0.004204321785399268
