Feature,SHAP_Importance
StudyHours,0.39436037670623436
InternshipGrade,0.38177094198312567
MotivationScore,0.354103385536447
GPA,0.34805791856177104
EmploymentStatus,0.3470926399078025
EnglishProficiency,0.3405785192799622
Age,0.33879985821851855
IncomeLevel,0.33862823495066796
TestAnxiety,0.3293553953453719
SleepHours,0.309394654672253
MockExamScore,0.26117232986384825
ReviewCenter,0.20210185771350037
Confidence,0.18517990554287572
SocialSupport,0.14114245774870426
Scholarship,0.06259307708762898
Gender,0.049088424062315
