Feature,SHAP_Importance
StudyHours,0.3740436052328269
TestAnxiety,0.23700368711972614
ReviewCenter,0.20365996643344964
EnglishProficiency,0.19361586998931538
GPA,0.180552373306475
Age,0.1548950719875416
SleepHours,0.14575547643599612
MockExamScore,0.10455621770431955
EmploymentStatus,0.0801172124014948
Confidence,0.0714686824956108
SocialSupport,0.06714060019626879
MotivationScore,0.04441401390043338
Scholarship,0.03532616899253078
IncomeLevel,0.030303944682650942
InternshipGrade,0.030035771137259644
Gender,0.011304592510547506
