Feature,SHAP_Importance
StudyHours,0.41780995977690216
GPA,0.2919039516782635
TestAnxiety,0.2421004250567522
EnglishProficiency,0.22890833051927217
ReviewCenter,0.20158570153659286
Age,0.19571578446089807
SleepHours,0.17775687987232777
MockExamScore,0.15434491869972364
EmploymentStatus,0.13695195687048306
Confidence,0.10710422931258745
SocialSupport,0.09744353702521401
IncomeLevel,0.07790953233687202
MotivationScore,0.0743008136767033
Scholarship,0.06925117765908684
InternshipGrade,0.03285853180415568
Gender,0.002258596989057306
