Feature,SHAP_Importance
StudyHours,0.3722667168476462
GPA,0.309916042916935
ReviewCenter,0.27499506063052176
Age,0.26563498923338874
TestAnxiety,0.2596180117703116
EmploymentStatus,0.23105082064522806
SleepHours,0.2276501820203515
EnglishProficiency,0.15807056085044544
Scholarship,0.11102938711006899
IncomeLevel,0.10743304097200655
MotivationScore,0.014246609157219967
SocialSupport,0.012251597012691079
Confidence,0.011728590184031988
MockExamScore,0.004471881884395428
InternshipGrade,0.0007430709749313659
Gender,0.0003276276191886912
