Feature,SHAP_Importance
StudyHours,0.36086964394463594
GPA,0.29904621193921993
ReviewCenter,0.26572654418776
Age,0.26449258094055117
TestAnxiety,0.2578936302843763
SleepHours,0.2169572724411733
EmploymentStatus,0.21403642448084775
EnglishProficiency,0.16042494535642635
IncomeLevel,0.10210765629536304
Scholarship,0.09566313502410727
MockExamScore,0.018446815150699875
Confidence,0.017673030670928368
SocialSupport,0.012975393583234377
MotivationScore,0.004647118067775916
Gender,0.0
InternshipGrade,0.0
