Feature,SHAP_Importance
StudyHours,0.33633496856551337
GPA,0.2782912786132434
Age,0.2668486894947348
TestAnxiety,0.2591399489791847
ReviewCenter,0.24572201556221068
SleepHours,0.1930919811921649
EnglishProficiency,0.17146650694633922
EmploymentStatus,0.16869032324410008
IncomeLevel,0.0926314763856132
MockExamScore,0.057400053755907836
Scholarship,0.05257637694936061
Confidence,0.03367407887025153
SocialSupport,0.01575878731242393
Gender,0.00031085698676760516
InternshipGrade,0.0
MotivationScore,0.0
