Feature,SHAP_Importance
StudyHours,0.3614196726312385
GPA,0.29909559022456733
ReviewCenter,0.26569339267981595
Age,0.26455998429280597
TestAnxiety,0.25861951504225983
SleepHours,0.21675327575035638
EmploymentStatus,0.21366331988942025
EnglishProficiency,0.15977886158299204
IncomeLevel,0.10214766511894803
Scholarship,0.09466663262787087
Confidence,0.017654770937017214
MockExamScore,0.01671672435912555
SocialSupport,0.013818507615600639
MotivationScore,0.004902693596804949
InternshipGrade,0.00010397078851922315
Gender,0.0
