Feature,decision_tree_shap,knn_shap,neural_network_shap,random_forest_shap,ridge_shap,svr_shap,avg_shap
StudyHours,0.45707331907530485,0.23854593698256424,0.37684089291948086,0.3805176201351757,0.33401041682840266,0.3073809663945578,0.3490615253892477
ReviewCenter,0.2591367151526122,0.3047984914135421,0.27838039864093256,0.19887385266983787,0.24516472298694456,0.15503411810261183,0.24023138316108017
TestAnxiety,0.1610856500776971,0.1009120348667018,0.26311665119831745,0.2345741441549694,0.24919010689413706,0.1938038342401956,0.20044707023866973
GPA,0.07644732004752895,0.09266582966060595,0.3135639614047706,0.1780249296826593,0.27542702009584247,0.18647392610874,0.1871004978333579
Age,0.0,0.10984416881052138,0.26875733724864737,0.13987108902318873,0.25519859049273125,0.20787052030416636,0.16359028431320918
EnglishProficiency,0.14913923840353466,0.1013543223147579,0.16009497904488268,0.1766461280681183,0.15895541732353347,0.14467592667216445,0.1484776686378319
SleepHours,0.0,0.07775326194490734,0.23008441285414058,0.1373039716592555,0.19516300500292474,0.14218822885678228,0.13041548005300174
EmploymentStatus,0.04129312045422132,0.08891008656859965,0.23447206533899642,0.0754427533350261,0.18194048274001864,0.1546194960853643,0.12944633408703773
Scholarship,0.0,0.10015179961080783,0.11253719614577118,0.03708401849625635,0.06778114493734906,0.11594376992140354,0.07224965485193133
IncomeLevel,0.0,0.07507416492738103,0.10831932877653033,0.03379125180470009,0.09253662753646821,0.0686783972001475,0.06306662837420453
MockExamScore,0.0,0.047698878585235464,0.004985894798090333,0.10119370245525346,0.03956785186793092,0.0555768554319896,0.04150386385641663
SocialSupport,0.05677135546813249,0.05488341222454667,0.011963546826829341,0.05860861455951059,0.014293884398375539,0.030927906127140393,0.037908119934089164
Confidence,0.0,0.0510980521607067,0.011971917907606816,0.06888211727817853,0.02610755044673164,0.053462736654471904,0.03525372907461593
InternshipGrade,0.0,0.06313003778620599,0.000577673809802475,0.02585628225023157,0.0,0.06212505093365853,0.025281507463316425
MotivationScore,0.0,0.041909180435842824,0.014752276444295345,0.0376857930996754,0.0007419855115896432,0.035707657772536934,0.021799482210656692
Gender,0.0,0.059400113981294966,0.0,0.00794646533535103,0.0,0.03755376117742858,0.01748339008234576
