Feature,SHAP_Importance
ReviewCenter,0.3047984914135421
StudyHours,0.23854593698256424
Age,0.10984416881052138
EnglishProficiency,0.1013543223147579
TestAnxiety,0.1009120348667018
Scholarship,0.10015179961080783
GPA,0.09266582966060595
EmploymentStatus,0.08891008656859965
SleepHours,0.07775326194490734
IncomeLevel,0.07507416492738103
InternshipGrade,0.06313003778620599
Gender,0.059400113981294966
SocialSupport,0.05488341222454667
Confidence,0.0510980521607067
MockExamScore,0.047698878585235464
MotivationScore,0.041909180435842824
