Feature,SHAP_Importance
StudyHours,0.37684089291948086
GPA,0.3135639614047706
ReviewCenter,0.27838039864093256
Age,0.26875733724864737
TestAnxiety,0.26311665119831745
EmploymentStatus,0.23447206533899642
SleepHours,0.23008441285414058
EnglishProficiency,0.16009497904488268
Scholarship,0.11253719614577118
IncomeLevel,0.10831932877653033
MotivationScore,0.014752276444295345
Confidence,0.011971917907606816
SocialSupport,0.011963546826829341
MockExamScore,0.004985894798090333
InternshipGrade,0.000577673809802475
Gender,0.0
