Feature,bagging_neural_network_shap,bagging_random_forest_shap,boosting_gradient_boost_shap,stacking_neural_only_shap,stacking_neural_ridge_neural_final_shap,stacking_neural_ridge_ridge_final_shap,avg_shap
StudyHours,0.39509235471025933,0.3740436052328269,0.41780995977690216,0.37243524070505957,0.36086964394463594,0.33633496856551337,0.37609762882253284
GPA,0.35821605420093944,0.180552373306475,0.2919039516782635,0.3094546993376773,0.29904621193921993,0.2782912786132434,0.28624409484596974
TestAnxiety,0.31919851340340444,0.23700368711972614,0.2421004250567522,0.2595495476723948,0.2578936302843763,0.2591399489791847,0.26248095875263977
Age,0.32517471100013934,0.1548950719875416,0.19571578446089807,0.26556307439080845,0.26449258094055117,0.2668486894947348,0.24544831871244557
ReviewCenter,0.20217886907124769,0.20365996643344964,0.20158570153659286,0.27496371014571336,0.26572654418776,0.24572201556221068,0.2323061344894957
SleepHours,0.332503692562151,0.14575547643599612,0.17775687987232777,0.22741858785342633,0.2169572724411733,0.1930919811921649,0.21558064839287325
EnglishProficiency,0.34616790650002893,0.19361586998931538,0.22890833051927217,0.1580131416329908,0.16042494535642635,0.17146650694633922,0.20976611682406213
EmploymentStatus,0.353636225223485,0.0801172124014948,0.13695195687048306,0.23161907231231132,0.21403642448084775,0.16869032324410008,0.19750853575545366
IncomeLevel,0.34371920266022427,0.030303944682650942,0.07790953233687202,0.10691194525722401,0.10210765629536304,0.0926314763856132,0.12559729293632457
MockExamScore,0.26065815226844385,0.10455621770431955,0.15434491869972364,0.005418590998318583,0.018446815150699875,0.057400053755907836,0.10013745809623555
MotivationScore,0.3564257967755618,0.04441401390043338,0.0743008136767033,0.013805626250223507,0.004647118067775916,0.0,0.0822655614451163
InternshipGrade,0.38211943869016585,0.030035771137259644,0.03285853180415568,0.0007126185461389373,0.0,0.0,0.07428772669628668
Scholarship,0.06035508187435135,0.03532616899253078,0.06925117765908684,0.10845380427171561,0.09566313502410727,0.05257637694936061,0.07027095746185875
Confidence,0.17952891971648072,0.0714686824956108,0.10710422931258745,0.011928344576598941,0.017673030670928368,0.03367407887025153,0.0702295476070763
SocialSupport,0.14199495140559099,0.06714060019626879,0.09744353702521401,0.013326703879005801,0.012975393583234377,0.01575878731242393,0.05810666223362298
Gender,0.04931750570607637,0.011304592510547506,0.002258596989057306,0.0003446673308081558,0.0,0.00031085698676760516,0.010589369920542824
