Feature,SHAP_Importance
Age,0.271769191478746
TestAnxiety,0.19676961826407993
ReviewCenter,0.17720477204594431
EnglishProficiency,0.15825310305700085
SleepHours,0.1306868751974264
StudyHours,0.11525883922028889
GPA,0.08669010103586472
Confidence,0.08370973830578383
EmploymentStatus,0.08270265736945057
Scholarship,0.08193832996559312
IncomeLevel,0.08081346776062805
MotivationScore,0.0785800782717125
MockExamScore,0.05823088980748829
InternshipGrade,0.055312172429736274
SocialSupport,0.05492526596812062
Gender,0.05062930811586095
