Feature,SHAP_Importance
MockExamScore,3.0607144732115814
EnglishProficiency,1.922204764985294
IncomeLevel,1.9105270801401182
Age,1.7070689705972557
EmploymentStatus,1.6225040554656538
TestAnxiety,1.5790528063510363
MotivationScore,1.5477364748453168
SocialSupport,1.5472106618430777
SleepHours,1.5465125876038213
InternshipGrade,1.4811012870857647
StudyHours,1.4247858897537964
GPA,1.1497740900195585
Confidence,0.763469073583735
Scholarship,0.6061649639117294
Gender,0.5696400137913327
ReviewCenter,0.23599919774699207
