Feature,SHAP_Importance
Age,0.7241110884952567
EnglishProficiency,0.4057490256941607
TestAnxiety,0.2509425307363555
SocialSupport,0.13159398672273986
StudyHours,0.13038835218376274
InternshipGrade,0.12396054818467786
SleepHours,0.12048915347759417
GPA,0.1071808565710219
MotivationScore,0.09111494610933084
MockExamScore,0.08937297505322776
Confidence,0.07623497600400708
Gender,0.07328140963079874
IncomeLevel,0.06880783106639633
EmploymentStatus,0.048939751313829355
ReviewCenter,0.026300489389502083
Scholarship,0.020271821953778787
