Feature,SHAP_Importance
Age,0.3133234694087045
SleepHours,0.20997285209634017
EnglishProficiency,0.2013948870610434
IncomeLevel,0.14711879413629425
GPA,0.1307582508340637
TestAnxiety,0.12564491399973585
StudyHours,0.11460193065963344
ReviewCenter,0.112023879784777
Gender,0.08197832155294082
InternshipGrade,0.03913191875012436
MotivationScore,0.017902909282749343
Confidence,0.009089933579942033
MockExamScore,0.000516159432373017
Scholarship,0.00017883886199074076
EmploymentStatus,0.0
SocialSupport,0.0
