Feature,SHAP_Importance
EnglishProficiency,0.028809655225999643
GPA,0.025576177641255183
TestAnxiety,0.02256596304590758
Age,0.010254385478550909
SocialSupport,0.009115143098959243
IncomeLevel,0.008857166946735991
Gender,0.006714511002381466
Scholarship,0.006573246181112279
ReviewCenter,0.00567852447530539
Confidence,0.004678528274782034
StudyHours,0.004660558849010837
InternshipGrade,0.0031198199766186794
EmploymentStatus,0.0026010577936651197
MockExamScore,0.002437018767561656
SleepHours,0.0016623562015955677
MotivationScore,0.0012000225310460596
