Feature,SHAP_Importance
Age,2.542331703226626
StudyHours,2.164063168479816
MockExamScore,1.503968093860771
EnglishProficiency,1.4399967377753158
SleepHours,1.4291633567967292
InternshipGrade,1.4128970108164116
EmploymentStatus,1.4060199348946534
IncomeLevel,1.1456431052532847
MotivationScore,1.05372037227116
SocialSupport,0.8654569305020882
Gender,0.8457061936389576
GPA,0.8226278852858525
TestAnxiety,0.7190975179967987
Confidence,0.5828254802223154
Scholarship,0.3943732626785947
ReviewCenter,0.22148771294365124
