Feature,SHAP_Importance
Age,0.642685445335138
EnglishProficiency,0.3549093028505146
TestAnxiety,0.230949714428181
StudyHours,0.1538277719855733
InternshipGrade,0.13704908072754302
SocialSupport,0.12717078900807469
GPA,0.1182292408428951
SleepHours,0.11496838082191117
Confidence,0.096210806018302
MockExamScore,0.07522231675654738
MotivationScore,0.06891044561664524
Gender,0.06067114970997876
IncomeLevel,0.05545174809878018
EmploymentStatus,0.048079900554369746
Scholarship,0.029737327725621668
ReviewCenter,0.013971814501717035
