Feature,SHAP_Importance
Age,0.8658594237558218
TestAnxiety,0.4324379027143366
SocialSupport,0.4280794797918356
EnglishProficiency,0.4159871505206894
GPA,0.28237801466338763
InternshipGrade,0.2462195889134631
SleepHours,0.21138372244458867
StudyHours,0.1888445096019905
MockExamScore,0.13775172323736198
Confidence,0.13222240425196022
MotivationScore,0.10427087130351759
IncomeLevel,0.10228623314578375
EmploymentStatus,0.09185884782316965
Gender,0.0723148701920295
ReviewCenter,0.023401641610211934
Scholarship,0.00035807747161091617
