Feature,bagging_neural_network_shap,bagging_random_forest_shap,boosting_gradient_boost_shap,stacking_neural_only_shap,stacking_neural_ridge_neural_final_shap,stacking_neural_ridge_ridge_final_shap,avg_shap
Age,2.542331703226626,0.642685445335138,0.8658594237558218,1.7276621023533798,0.9874336152736269,0.0600396924679191,1.1376686637354185
MockExamScore,1.503968093860771,0.07522231675654738,0.13775172323736198,3.1863248167177405,1.6879498272030786,0.12159450931776213,1.1188018811822105
EnglishProficiency,1.4399967377753158,0.3549093028505146,0.4159871505206894,1.979378240625987,1.0336797455211,0.08084066584190662,0.8841319738559189
StudyHours,2.164063168479816,0.1538277719855733,0.1888445096019905,1.5358144835205367,0.7970596617767828,0.05708354351456401,0.8161155231465438
IncomeLevel,1.1456431052532847,0.05545174809878018,0.10228623314578375,2.009972696890346,1.1578245281032058,0.0775072884164992,0.7581142666513165
SleepHours,1.4291633567967292,0.11496838082191117,0.21138372244458867,1.498084014983135,0.7875662758348738,0.06089830158400602,0.6836773420775405
InternshipGrade,1.4128970108164116,0.13704908072754302,0.2462195889134631,1.410013770260058,0.8112571154079419,0.05579870114588181,0.6788725445452166
EmploymentStatus,1.4060199348946534,0.048079900554369746,0.09185884782316965,1.59186713214469,0.864718310433148,0.06361923205952175,0.6776938929849255
SocialSupport,0.8654569305020882,0.12717078900807469,0.4280794797918356,1.6217519691865088,0.9476962683446921,0.06259656468646094,0.6754586669199435
TestAnxiety,0.7190975179967987,0.230949714428181,0.4324379027143366,1.5770196693252814,0.8689610927786089,0.05968340213607331,0.6480248832298799
MotivationScore,1.05372037227116,0.06891044561664524,0.10427087130351759,1.6209190692752338,0.8493395270753236,0.06605862611241266,0.6272031519423821
GPA,0.8226278852858525,0.1182292408428951,0.28237801466338763,1.2409165901030597,0.7268635437572182,0.04628847242632395,0.5395506245131229
Gender,0.8457061936389576,0.06067114970997876,0.0723148701920295,0.6505375288535499,0.3410715607519668,0.023622902299893365,0.3323207009077293
Confidence,0.5828254802223154,0.096210806018302,0.13222240425196022,0.6535893856338898,0.3653333656127849,0.02602962525043813,0.3093685111649484
Scholarship,0.3943732626785947,0.029737327725621668,0.00035807747161091617,0.6239661989179536,0.30486788972841716,0.01923595419082064,0.2287564517855031
ReviewCenter,0.22148771294365124,0.013971814501717035,0.023401641610211934,0.1666196517321127,0.12109307845468184,0.013988517164069557,0.09342706940107405
