Feature,Ensemble_SHAP,Base_SHAP,SHAP_Difference
Age,1.1376686637354185,1.1376686637354183,2.220446049250313e-16
MockExamScore,1.1188018811822105,1.1188018811822105,0.0
EnglishProficiency,0.8841319738559189,0.8841319738559189,0.0
StudyHours,0.8161155231465438,0.8161155231465438,0.0
IncomeLevel,0.7581142666513165,0.7581142666513165,0.0
SleepHours,0.6836773420775405,0.6836773420775405,0.0
InternshipGrade,0.6788725445452166,0.6788725445452166,0.0
EmploymentStatus,0.6776938929849255,0.6776938929849255,0.0
SocialSupport,0.6754586669199435,0.6754586669199435,0.0
TestAnxiety,0.6480248832298799,0.6480248832298799,0.0
MotivationScore,0.6272031519423821,0.6272031519423821,0.0
GPA,0.5395506245131229,0.5395506245131229,0.0
Gender,0.3323207009077293,0.3323207009077293,0.0
Confidence,0.3093685111649484,0.3093685111649484,0.0
Scholarship,0.2287564517855031,0.2287564517855031,0.0
ReviewCenter,0.09342706940107405,0.093427069401074,5.551115123125783e-17
