Feature,SHAP_Importance
MockExamScore,3.1863248167177405
IncomeLevel,2.009972696890346
EnglishProficiency,1.979378240625987
Age,1.7276621023533798
SocialSupport,1.6217519691865088
MotivationScore,1.6209190692752338
EmploymentStatus,1.59186713214469
TestAnxiety,1.5770196693252814
StudyHours,1.5358144835205367
SleepHours,1.498084014983135
InternshipGrade,1.410013770260058
GPA,1.2409165901030597
Confidence,0.6535893856338898
Gender,0.6505375288535499
Scholarship,0.6239661989179536
ReviewCenter,0.1666196517321127
