Feature,SHAP_Importance
MockExamScore,1.6879498272030786
IncomeLevel,1.1578245281032058
EnglishProficiency,1.0336797455211
Age,0.9874336152736269
SocialSupport,0.9476962683446921
TestAnxiety,0.8689610927786089
EmploymentStatus,0.864718310433148
MotivationScore,0.8493395270753236
InternshipGrade,0.8112571154079419
StudyHours,0.7970596617767828
SleepHours,0.7875662758348738
GPA,0.7268635437572182
Confidence,0.3653333656127849
Gender,0.3410715607519668
Scholarship,0.30486788972841716
ReviewCenter,0.12109307845468184
