Feature,SHAP_Importance
MockExamScore,0.12159450931776213
EnglishProficiency,0.08084066584190662
IncomeLevel,0.0775072884164992
MotivationScore,0.06605862611241266
EmploymentStatus,0.06361923205952175
SocialSupport,0.06259656468646094
SleepHours,0.06089830158400602
Age,0.0600396924679191
TestAnxiety,0.05968340213607331
StudyHours,0.05708354351456401
InternshipGrade,0.05579870114588181
GPA,0.04628847242632395
Confidence,0.02602962525043813
Gender,0.023622902299893365
Scholarship,0.01923595419082064
ReviewCenter,0.013988517164069557
